identifier,New Index,Record Index,origin_url,title,Date,Cartoonists,Publisher,Page no,description,Authorities
DCDL-0017437,107,158,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1424846,"Nisbet, Alastair, 1958-: ""Now remember... try to work together!"" 31 March 2011",31/03/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A14,"The cartoon shows Prime Minister John Key as a Dr Frankenstein-like surgeon in a blood-spattered white coat; he has just created a monster which has resulted in the Minister for Earthquake Recovery Gerry Brownlee and Mayor of Christchurch Bob Parker joined together in a single body named 'CERA"". Gerry Brownlee clutches a huge spiked mallet and Bob Parker a paintbrush. Context - a new bill is being rushed through parliament to establish the Canterbury Earthquake Recovery Authority (Cera); it empowers it to lead reconstruction efforts in Christchurch. The monster suggests distinctly differing philosophies on how the work of rebuilding Christchurch should proceed.","Key, John Phillip (Rt Hon), 1961- (name_authority) # Parker, Robert John (Sir), 1953- (name_authority) # Brownlee, Gerard Anthony (Hon), 1956- (name_authority) # Canterbury Earthquake Recovery Authority (name_authority) # City planning (subject_authority) # Public buildings - Repair and reconstruction - New Zealand - Canterbury Region (subject authority)"
DCDL-0015558,108,159,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1359992,"""The mayor is promising to 'MOVE OUR DISTRICT FORWARD'"" ""With all the NEW JOBS on offer in Christchurch maybe he should move our district down there?"" 11 September 2010",11/09/2010,"Clark, Laurence",Northern advocate (Newspaper),NA 6,Shows a couple in their car driving along a road with election billboards. The mancomments that the mayor is promising to 'move our district forward' and his partner suggests that with all the new jobs down in Christchurch maybe he should move the district down there. Probably refers to mayoral hopefuls in the 9 October local body election in Whangarei.,Mayors - Election (subject_authority) # Unemployment (subject_authority) # Local elections (subject_authority)
DCDL-0019399,109,161,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1484680,"Nisbet, Alistair, 1958- :New foundation prerequisites for ChCh? 3 November 2011",03/11/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A14,"The EQC (Earthquake Commission) has developed new standards and designs to help rebuild Christchurch after the earthquakes of 2010 and 2011. The Department of Building and Housing have produced some generic building foundation and floor designs that can be used for residential homes being built or repaired on liquefied, tilting, unsettled and/or damaged land. (RebuildChristchurch.co.nz)
",Soil liquefaction (subject_authority) # New Zealand. Earthquake Commission (name_authority) # Earthquake engineering (subject_authority) # Earthquake resistant design (subject_authority)
DCDL-0020016,110,165,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1497843,"Winter, Mark 1958- :Did you feel that? 20 January 2012",20/01/2012,"Winter, Mark",Southland times (Newspaper),ST 8,"Someone is writing and suddenly the pen runs across the paper. He asks 'Did you feel that?' Refers to continuing aftershocks in Christchurch.
",Earthquake aftershocks (subject_authority)
DCDL-0015869,111,166,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1370011,Rock 'n roll... 19 October 2010,20/10/2010,"Winter, Mark",Southland times (Newspaper),ST 10,"The cartoon shows the name 'Christchurch' shaking so that bits fly off it; the letters 'H', 'I', and 'T' spelling 'hit' are the only ones not shaking. A second version has the words 'Rock'n Roll' as a title. Refers to the earthquake of 4th September 2010 and its hundreds of aftershocks which continue into November.
",Earthquake aftershocks (subject_authority)
DCDL-0017275,112,169,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1416073,"Nisbet, Alistair, 1958-: NZ city strengthening? 6 March 2011",06/03/2011,"Nisbet, Alastair",Sunday star times (Newspaper),SST C6,"Text at the top of the cartoon reads 'NZ city strengthening?' A composite city (it includes the Beehive, Christchurch Cathedral and the Skytower) is enclosed in a glass dome and balanced on huge springs intended to make it earthquake resistant rocks as another aftershock hits. Since the 22 February earthquake there has been great emphasis on making heritage buildings that are rebuilt and all new buildings earthquake resistant. 
",Buildings - Earthquake effects (subject_authority) # Earthquake engineering (subject_authority) # Earthquake resistant design (subject_authority)
DCDL-0018089,113,170,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1455415,"Hubbard, James, 1949- :Canterbury lamb... 16 June 2011",17/06/2011,"Hubbard, James",Northern advocate (Newspaper),NA A6,"Text reads 'Canterbury lamb...' and the cartoon shows a slavering wolf that represents 'earthquake' dressed in 'lamb's clothing' and prowling in the night among other sheep. Context - The saying 'a wolf in sheep's clothing' that suggests something sinister sheltering behind something benign. Refers to the devastating Christchurch earthquakes of 2010 and 2011. A third very damaging earthquake occured on 13th June 2011. 'Canterbury lamb' is well-known as a favourite meat overseas.
",
DCDL-0020370,114,173,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1505406,"Nisbet, Alistair, 1958- :'Feb 22 Community Spirit'. 21 February 2012",21/02/2012,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A14,"Cartoon shows a stone foundation that commemorates 'community spirit' after the Christchurch earthquake of February 22 2011.
","Christchurch Earthquake, N.Z., 2011 - Anniversaries, etc. (subject_authority) # Communities (subject_authority) # Disasters - Psychological aspects (subject_authority) # Memorials (subject_authority)"
DCDL-0015512,115,176,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1352048,"""Hello?"" ""It's your aunt in London..."" ""How's life in the South Island, did you ask?"" ""Have you ever been in a war zone?"" 7 September 2010",07/09/2010,"Bromhead, Peter",Marlborough Express (Newspaper),ME 6,In four frames a man chats to an aunt in London who has phoned to see how they are. The man asks her if she has ever been in a war zone. Refers to the Christchurch earthquake of 4th September 2010.,
DCDL-0015511,116,177,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1352002,"The reminder... Emergency survival kit. ""First aid kit... water... canned food... torch..."" 6 September 2010",06/09/2010,"Bromhead, Peter",Marlborough Express (Newspaper),ME 6,The Christchurch earthquake that struck on 4 September 2010 reminds people in places other than Christchurch to check their emergency survival kits. The cartoon shows a couple ticking off the contents of their box.,Survival and emergency equipment (subject_authority)
DCDL-0018021,117,178,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1452153,"Evans, Malcolm Paul, 1945- :""How are things in the building game?"" Tough!"" ... 8 June 2011",09/06/2011,"Evans, Malcolm Paul","Press (Christchurch, N.Z.); Timaru herald (Newspaper); Manawatu standard (Newspaper)",MS 9; P 10.6. A14; TH 7,"An interested passerby assumes that a builder will be keen to get some EQC work fixing up Christchurch but the builder replies 'Are you kidding?! Not while EQC is paying us $4500 a week to do its assessments!' Context - The Earthquake Commission (EQC) has employed 414 contractors to carry out the assessments on its behalf. Contractors carrying out property inspections of quake-damaged Christchurch homes are being paid about $4000 a week. Contractors are paid $75 an hour, while the builders, who inspect the damage, receive $60 an hour.
",Buildings - Repair and reconstruction - New Zealand - Canterbury Region (subject_authority) # New Zealand. Earthquake Commission (name_authority) # Building inspectors (subject_authority) # Building (subject_authority)
DCDL-0018087,118,179,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1455413,"Hubbard, James, 1949- :""Who said we're living ON the edge?!"" 14 June 2011",15/06/2011,"Hubbard, James",Northern advocate (Newspaper),NA A6,The cartoon shows a desperate man representing 'Christchurch' who is clutching the end of a broken plank that protrudes from a crumbling cliff-face. He says 'Who said we're living ON the edge?!' Context - the man is suggesting that they are not On the edge but OVER it. Refers to the continuing hardships and trauma facing many Christchurch residents as earthquakes and aftershocks continue (the latest on 13 June) and many face large financial losses because of insurance problems.,Earthquake aftershocks (subject_authority) # Disasters - Psychological aspects (subject_authority)
DCDL-0021505,119,180,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1527064,"Emmerson, Rod, 1955- :""Anyone over it yet??"" 14 May 2011",14/06/2011,"Emmerson, Rod",New Zealand herald (Newspaper),NZH A10,"The cartoon shows a family hanging on to a bucking bull called 'Chch'. They ask ""Anyone over it yet??"" Context: Christchurch had experienced a swarm of aftershocks including two of magnitudes 5.7 and 6.3 respectively.
",Earthquake aftershocks (subject_authority) # Disasters - Psychological aspects (subject_authority)
DCDL-0018028,120,182,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1452162,"Nisbet, Alistair, 1958- :""Is it my turn yet?"" 7 June 2011",07/06/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A12,"Two huge wrestlers, one representing 'Port Hills fault' and the other 'Greendale fault' struggle together over a broken Christchurch. Another wrestler, representing 'Other faults' appears in the distance yelling 'Is it my turn yet?' Context - Christchurch has now had three major earthquakes and thousands of aftershocks. It now appears likely that the Christchurch quakes resulted from activity on a fault extending directly eastward from the Alpine fault that remained unknown until last year.",Earthquake aftershocks (subject_authority)
DCDL-0018169,121,187,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1458431,"Nisbet, Alistair, 1958- :""Woo-hoo! Home sweet home!"" 28 June 2011",28/06/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A12,A rat in a business suit representing 'insurance companies' carries a briefcase labelled 'Total replacement policies' and follows a fellow rat into 'loop holes' that lead into a collapsed building. The rat says 'Woo-hoo! Home sweet home!' Context - Problems for people whose houses were damaged in the Christchurch earthquakes. ,Earthquake insurance claims (subject_authority) # Insurance (subject_authority) # Buildings - Earthquake effects (subject_authority) # Insurance companies (subject_authority)
DCDL-0019922,122,188,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1495605,"Nisbet, Alistair, 1958- :'Course it's safe to rebuild...' 7 January 2012",07/01/2012,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A19,"Shows three new houses sinking into liquefaction after another series of strong aftershocks in early January. A sign reads 'Parklands' and an observer confidently asserts that it is safe to rebuild. Context: the suburb of Parklands in north east Christchurch has been badly damaged by liquifaction.
",Soil liquefaction (subject_authority) # Earthquake resistant design (subject_authority) # City planning - New Zealand - Canterbury Region (subject_authority) # Housing (subject_authority)
DCDL-0020251,123,189,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1503258,"Nisbet, Alistair, 1958- :New lightweight buildings for CBD? 16 February 2012",16/02/2012,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A16,"Refers to the rebuilding of Christchurch after the earthquakes, especially to transitional architecture. Shown are a cardboard 'weetbix' box, a condom brothel that gives great protection, a pile of rolls of toilet paper, the 'popcorn hotel' expands in microwave, the 'Milo' building, soft but reinforced with iron', and the 'styrofoam chalice'.
","Earthquake resistant design (subject_authority) # Building materials (subject_authority) # Transitional Cathedral (Christchurch, N.Z.) (name_authority)"
DCDL-0015513,124,190,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358040,Buildings may fall but the Kiwi Spirit and compassion for our neighbours will never be crushed.... 5 September 2010,06/09/2010,"Hodgson, Trace",Dominion post (Newspaper); Nelson mail (Newspaper),DP B4; NM 9;,"A man with his arm around his wife and baby stands on a heap of rubble with a spade in his other hand. In the background are the Christchurch Cathedral and several other badly damaged buildings and a signpost reading 'Christchurch' lies on top of the rubble. Text reads 'Buildings may fall but the Kiwi spirit and compassion for our neighbours will never be crushed...' There are two versions of the cartoon, one in colour and one black and white. Refers to the Christchurch earthquake of 4th September 2010.",Courage (subject_authority) # Buildings - Earthquake effects (subject_authority)
DCDL-0018259,125,191,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1461520,"Winter, Mark 1958- :Tsunami warning - cancelled. 8 July 2011",08/07/2011,"Winter, Mark",Southland times (Newspaper),ST 6,"Cartoons about political and social issues in New Zealand and overseas.
The cartoon has the words 'Tsunami Warning cancelled' in the centre. Above are the words 'The end is nigh... insurance running out! No more cover!' Below the word 'cancelled' are the words 'We have reinsurance!' Context - Civil Defence has cancelled a tsunami warning after a 7.8 magnitude earthquake struck off the Kermadec Islands on 7 July 2011. There was also a potential problem for home-owners when AMI Insurance, the largest insurer of homes in Christchurch, was threatening insolvency. However, AMI has announced that it has re-insurance cover for earthquakes and other natural disasters from tomorrow (1 July 2011) for the next year.",AMI Insurance (name_authority) # Earthquake damage (subject_authority) # Insurance (subject_authority)
DCDL-0018168,126,192,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1458426,"Nisbet, Alistair, 1958- :""I've got a bad feeling about this new subdivision!"" 25 June 2011",25/06/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A23,"Text across the top of the cartoon reads 'Greener pastures for red zone residents?... A new subdivision named 'Quakehaven' has streets named 'Wobble Way', 'Poopong Parade', 'Turd Tce.', 'Liquefaction Lane' etc. One of a couple visiting the new area says 'I've got a bad feeling about this new subdivision!' Context - Housing after the Christchurch earthquakes. After the first Land Report was delivered on 23rd June people whose houses were in the Red Zone had their properties bought up by the government and now have to move to new subdivisions. ",City planning - New Zealand - Canterbury Region (subject_authority) # Buildings - Earthquake effects (subject_authority) # Buildings - Repair and reconstruction - New Zealand - Canterbury Region (subject_authority)
DCDL-0019995,127,194,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1496119,"Nisbet, Alistair, 1958- :Why not have a mobile CBD?. 10 January 2012",10/01/2012,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A10,"The cartoon shows a mobile CBD (central business district) which is mounted on tractor tracks and will be great for dodging aftershocks. Refers to problems and questions about the rebuilding of the Christchurch CBD after the earthquakes and while aftershocks continue.
",Earthquake aftershocks (subject_authority) # City planning - New Zealand - Canterbury Region (subject_authority) # Earthquake resistant design (subject_authority)
DCDL-0016218,128,196,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1383371,"With all the broken chimneys, Santa must be practising new access points for the big night... 23 November 2010",23/11/2010,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A12,"Santa Claus climbs out of a toilet saying 'cross this one off the list!' Text above reads 'With all the broken chimneys, Santa must be practising new access points for the big night' Context; the damage to many houses, especially chimneys, as a result of the Christchurch earthquake of 4th October 2010.
",Santa Claus (name_authority) # Chimneys (subject_authority) # Buildings - Earthquake effects (subject_authority)
DCDL-0018889,129,198,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1476424,"Nisbet, Alistair, 1958- :""I can really see it growing on me!"" - September 17 2011",17/09/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.) (Newspaper)",P A23,"The title reads 'Greener square for Christchurch?..' The cartoon depicts the city centre in Christchurch entirely covered with green and there are cows wandering by the stream as well as grazing on the tops of buildings. A man at the top of the green cathedral says 'I can see it really growing on me!' Context: This is a reference to the draft Central City plan under which the Central City will be greener and more attractive.
",Buildings - Repair and reconstruction - New Zealand - Canterbury Region (subject_authority) # City planning - New Zealand - Canterbury Region (subject_authority) # Buildings - Earthquake effects (subject_authority)
DCDL-0021217,130,199,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1519026,"Emmerson, Rod, 1955- :""Gerry Brownlee has announced a $6 million package to help businesses get back on their feet..."" 23 March 2011",23/03/2011,"Emmerson, Rod",New Zealand herald (Newspaper),NZH A10,"Two men are sitting on the ground outside the security fence around the Christchurch central business district red zone. It was an area closed to the public because of the number of badly damaged buildings it contained. The other man replies: ""Good - we'll need that to buy the tools to cut through this fence!"" They have placards 'Business owners need access now', and 'Stop demolishing our buildings'. Context is that CBD business owners were angry they could not get access to their premises to retrieve records etc.
","Brownlee, Gerard Anthony (Hon), 1956- (name_authority) # Buildings - Earthquake effects (subject_authority) # Business - Earthquake effects (subject_authority) # Emergency management (subject_authority)"
DCDL-0018082,131,204,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1455297,"Evans, Malcolm Paul, 1945- :""Four point one! Three point six! Five point two! ..."" 15 June 2011",16/06/2011,"Evans, Malcolm Paul",Timaru herald (Newspaper),TH ?,"In the top frames two children shout 'four point one', 'three point six', and 'five point two' and in the frame below it is seen that they are responding to bumps in the road as their mother drives through Christchurch streets. Context is quake humour as the children have become expert at guessing the seismic intensity of earthquakes in Christchurch and are now applying them to bumps in the road.
",Earthquake hazard analysis (subject_authority)
DCDL-0018123,132,205,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1456291,"Tremain, Garrick 1941- :""You have reached the quake helpline..."" 19 June 2011",20/06/2011,"Tremain, Garrick",Otago daily times (Newspaper),ODT 8,"A man wearing shorts and gumboots stands surrounded by liquefaction beside his collapsing house. He tries to phone the 'Quake helpline' for assistance and gets the response 'You have reached the quake helpline... If you're up to your knees in liquefaction... Press 1. If your house is down around your ears... Press 2. If you're looking for assistance or answers press on'. Context - The increasing frustration and misery of many Christchurch residents who are experiencing huge difficulty getting assistance after months of delays and continuing aftershocks following the Christchurch earthquakes of 4th September, 22 February and the most recent ones on 13 June.
",Disasters - Psychological aspects (subject_authority) # Disaster relief (subject_authority)
DCDL-0020332,133,207,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1503843,"Smith, Hayden James, 1976- :'185 reasons to remember'. 22 February 2012",22/02/2012,"Smith, Hayden James",Otago daily times (Newspaper),ODT 14,A red and black flag - Canterbury colours - showing silhouettes of the 185 people who died in the Christchurch earthquake of February 22nd 2011.,"Christchurch Earthquake, N.Z., 2011 - Anniversaries, etc. (subject_authority) # Memorials (subject_authority)"
DCDL-0021184,134,210,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1518853,"Emmerson, Rod, 1955- :The hand of mother nature. 23 February 2011",23/02/2011,"Emmerson, Rod",New Zealand herald (Newspaper),NZH A14,"The cartoon show a map with Christchurch being crossed out in red by a hand holding a felt-tip. Christchurch had suffered a devastating earthquake the previous day.
",Natural disasters (subject_authority)
DCDL-0020212,135,216,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1502377,"Winter, Mark 1958- :Gerry Brownlee's got a nerve... 13 February",13/02/2012,"Winter, Mark",Southland times (Newspaper),ST 6,"Refers to the news that Christchurch Mayor Bob Parker says he has accepted earthquake recovery minister Gerry Brownlee's apology for calling him a ""clown"". Brownlee's comments, reported in the Christchurch Mail, were a reaction to Parker's statement last week that the Government could force the city to increase rates or sell assets to pay for the earthquake recovery. (TVNZ February 9 2012)
","Parker, Robert John (Sir), 1953- (name_authority) # Brownlee, Gerard Anthony (Hon), 1956- (name_authority) # Local government (subject_authority)"
DCDL-0021206,136,221,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1518933,"Emmerson, Rod, 1955- :2 minutes silence. 2 March 2011",02/03/2011,"Emmerson, Rod",New Zealand herald (Newspaper),NZH A12,"The cartoon shows a seismograph tracing of vigorous seismic activity, except for a two minute flat-line period. Context: The country had observed two minutes' silence on Tuesday 1 March to remember the devastating Christchurch earthquake one week previously. Christchurch continued to experience many aftershocks.
",Memorials (subject_authority)
DCDL-0020094,137,222,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1499212,"Evans, Malcolm Paul, 1945- :'Wow - here's an opportunity to help the jobless while helping the city!' 30 January 2012",31/01/2012,"Evans, Malcolm Paul","Timaru herald (Newspaper); Manawatu standard (Newspaper); Press (Christchurch, N.Z.)",MS 8; TH 7; P A14 1.2.12,"A study by the Department of Labour shows 24,000 extra workers will be needed to complete the rebuild of Christchurch. The workers to be housed at Burnham or on a ship in Lyttelton, there are so many advantages to this scheme that the man in the cartoon decides it cannot possibly work.
",Buildings - Repair and reconstruction - New Zealand - Canterbury Region (subject_authority) # Unemployment (subject_authority)
DCDL-0018068,138,223,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1453743,"Nisbet, Alistair, 1958- :""Don't get your hopes up! It's probably another mirage!"" 11 June 2011",11/06/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A21,"Two people crawl across a desert littered with animal bones and skulls towards the words 'Land reports' in the distance. The woman says 'Don't get your hopes up! It's probably a mirage!' Context - On Thursday 23 June the first part of the Government's long-awaited land report that revealed the fate of up to 5000 quake-damaged homes was announced.
",Disasters - Psychological aspects (subject_authority) # City planning - New Zealand - Canterbury Region (subject_authority) # Buildings - Earthquake effects (subject_authority) # Buildings - Repair and reconstruction - New Zealand - Canterbury Region (subject_authority)
DCDL-0018510,139,226,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1467436,"Nisbet, Alistair, 1958- :""At least snow covers up ugly quake damage dear.... dear?"" 26 July 2011",26/07/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A12,"A woman walks through the snow in Christchurch and comments 'At least snow covers up ugly quake damage dear... Dear?' Her husband has disappeared into a hole that was covered in snow. Context: Heavy snow blanketed Christchurch today (Saturday 9 August) as the winter cold continued to be felt across both the North and South Islands. 
",Roads - Earthquake effects (subject_authority) # Snow - New Zealand (subject_authority) # Earthquake damage (subject_authority)
DCDL-0019544,140,229,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1486418,"Nisbet, Alistair, 1958- : If a secret microphone was smuggled into CERA's meetings?... 15 November 2011",15/11/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A12,"Text reads 'If a secret microphone was smuggled into CERA's meetings?...' A group of CERA staff chat during tea at a meeting. They make unguarded comments about the state of affairs in earthquake-stricken Christchurch and the designation of red zone areas, unaware that a microphone has been left in a sugarbowl. Context: the cartoon suggests that there seems to many Christchurch people to be a lack of real care on the part of officialdom as they struggle to recover from the earthquake damage and compares this with the 'teapot' tape saga. ",City planning - New Zealand - Canterbury Region (subject_authority) # Canterbury Earthquake Recovery Authority (name_authority)
DCDL-0018678,141,230,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1471842,"Walker, Malcolm, 1950- :Pet of the day ... 24 August 2011",25/08/2011,"Walker, Malcolm",Dominion post (Newspaper),DP B4,"Text reads 'Pet of the day... ' Below is a notice tacked to a wall which has an image of a cat wearing spectacles on it. Text reads 'LOST. Large moggy, last seen roaming in Christchurch. Answers to the name of ""Gerry"" or ""Dinner's ready"". Has a loud purr, looks cuddly but can turn...' Context: This is a reference to Gerry Brownlee, the Minister for Earthquake Recovery. ","Politicians - New Zealand - Public opinion (subject_authority) # Brownlee, Gerard Anthony (Hon), 1956- (name_authority)"
DCDL-0017309,142,231,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1418159,"Smith, Ashley W, 1948-:[Moon man non-event lunch] 15 March 2011",19/03/2011,"Smith, Ashley W",Shipping Gazette (Serial),SG 3,"Text at the top of the cartoon reads 'News - A ""Moon man non-event lunch"" will be held above Christchurch to defy quake predictions for that day'. In a tea rooms people enjoy lunch as they defy precaution against a predicted earthquake. They order a 'pot o' tea', 'pie & chips', 'sandwich & coke' and a 'shake & roll'; above in a black and thunderous cloud God thinks he heard someone request a shake & a roll'. Context - the so-called Moon Man Ken Ring is backing away from his prediction that Christchurch will be whacked by a huge earthquake on 20 March 2011. His claims have terrified Cantabrians and led to people fleeing Christchurch. The Skeptics Society are planning a lunch in one of Christchurch's highest, oldest, stone buildings - at noon on March 20 at the Sign of the Kiwi, on the top of the Port Hills - which Smith said was the closest building to the epicentre of the February 22 quake.","Ring, Ken, 194?- (name_authority) # Disasters - Psychological aspects (subject_authority) # Earthquake prediction (subject_authority)"
DCDL-0017350,143,234,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1419397,"Tremain, Garrick, 1941-:[The Parker we love] 21 March 2011",19/03/2011,"Tremain, Garrick",Otago daily times (Newspaper),ODT 34,"At top left is text reading 'Christchurch pupils return to school...' The teacher has written the words 'Nosey', 'Bob', and 'Double' on the blackboard and says to the children 'Our first test today... Sort these into Parkers we love and Parkers we don't'... Context - Bob Parker is the Mayor of Christchurch and is generally considered to have done a remarkably good job of demonstrating calm and cheerfulness after the two earthquakes of 4 September 2010 and 22 February 2011, as well as having been able to chose fitting words to express grief and despair at so much loss.
","Parker, Robert John (Sir), 1953- (name_authority)"
DCDL-0017148,144,235,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409925,"Bromhead, Peter, 1933-:The reminder again...[Disaster kits] 24 February 2011",24/02/2011,"Bromhead, Peter",Marlborough Express (Newspaper),ME 6,"Text across the top of the cartoon reads 'The reminder again' and shows a disaster kit in a box labeled 'Your B-Ready Disaster Kit'. Nearby are newspapers recording the text 'no power', 'shortage of blankets', 'boil water'. Context - a warning for everyone to prepare disaster kits brought home by the Christchurch earthquake of 22 February 2011. ",Survival and emergency equipment (subject_authority)
DCDL-0016310,145,236,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1386580,"""Quick hide! Christmas is getting closer!!"" 9 December 2010",09/12/2010,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A18,"Several 'quake victims' dive into a fissure and zip it up as Santa Claus in the form of a malignant '$' symbol leaps towards them yelling 'Ho! Ho! Ho!' One of the quake victims shouts 'Quick Hide! Christmas is getting closer!!' Context; the Christchurch earthquake on 4th September and all the subsequent aftershocks have cost many people a great deal of money.
",Santa Claus (name_authority) # Earthquake aftershocks (subject_authority) # Christmas (subject_authority) # Disaster relief (subject_authority) # Disaster victims (subject_authority)
DCDL-0021209,146,239,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1518959,"Emmerson, Rod, 1955- :[1] ""People would like to hear a couple of reassuring words on the standard of Auckland buildings."" ... [2] ""I hope they've got optimism insurance."" [3] ""Crumbs... the way the planets are aligned, I'd say John Campbell's likely to crack at any moment..."" [4] ""Ok.. I've done the maths... when the total cost of..."" ... 5 March 2011",05/03/2011,"Emmerson, Rod",New Zealand herald (Newspaper),NZH A26,"Four cartoons on the theme of the Christchurch earthquake:
[1] An aide asks Auckland mayor Len Brown about the safety of Auckland buildings. He replies: ""Well... err..."" A number of multistorey buildings had failed completely and collapsed during the Christchurch earthquake.
[2] Two men stand at the entrance to the AMI sports stadium in Christchurch.
[3] Astrologer Ken Ring, who claims to be able to predict earthquakes, is interviewed on TV3. TV3 presenter John Campbell had interviewed him aggressively.
[4] An aide is talking to Prime Minister John Key. He continues: ""When you total the cost of leaky homes, the RWC, the super city, road and rail needs... blah blah blah... and the Christchurch earthquake, it costs a dizzy ..."" John Key puts his hands over the mouth of the speaker and says: ""SHUSH MAN! The punters are already traumatized enough..."" The economic cost to the country of the Christchurch was being realised, at a time when the economy is in poor shape.
","Key, John Phillip (Rt Hon), 1961- (name_authority) # Ring, Ken, 194?- (name_authority) # Campbell, John James, 1964- (name_authority) # Brown, Leonard, 1956- (name_authority) # Buildings - Earthquake effects (subject_authority) # New Zealand - Economic conditions (subject_authority) # Earthquake prediction (subject_authority)"
